headword	pos	band	source	note
-able	suffix	1	defining	votes 2
-al	suffix	1	defining	votes 2
-dom	suffix	1	defining	votes 1
-ed	suffix	1	defining	votes 1
-en	suffix	1	defining	votes 2
-er	suffix	1	defining	votes 2
-ful	suffix	1	defining	votes 2
-hood	suffix	1	defining	votes 2
-ic	suffix	1	defining	votes 1
-ify	suffix	1	defining	votes 1
-ing	suffix	1	defining	votes 1
-ish	suffix	1	defining	votes 2
-ism	suffix	1	defining	votes 2
-ist	suffix	1	defining	votes 2
-ity	suffix	1	defining	votes 2
-ive	suffix	1	defining	votes 2
-ize	suffix	1	defining	votes 2
-less	suffix	1	defining	votes 2
-like	suffix	1	defining	votes 1
-ly	suffix	1	defining	votes 2
-ment	suffix	1	defining	votes 2
-ness	suffix	1	defining	votes 2
-ous	suffix	1	defining	votes 2
-ship	suffix	1	defining	votes 2
-tion	suffix	1	defining	votes 2
-ward	suffix	1	defining	votes 1
-wise	suffix	1	defining	votes 1
-y	suffix	1	defining	votes 1
a	det	1	defining	votes 3
a.m.	abbr	1	defining	votes 2
ability	n	1	defining	votes 3
able	adj	1	defining	votes 2
about	prep	1	defining	votes 3
above	prep	1	defining	votes 3
abroad	adv	1	defining	votes 1
absolutely	adv	1	defining	votes 1
absorb	v	1	defining	votes 1
accent	n	1	defining	votes 1
accept	v	1	defining	votes 3
accident	n	1	defining	votes 3
account	n	1	defining	votes 2
ache	n	1	defining	votes 2
acid	n	1	defining	votes 1
acquaintance	n	1	defining	votes 2
across	adv	1	defining	votes 2
across	prep	1	defining	votes 3
act	n	1	defining	votes 2
act	v	1	defining	votes 3
action	n	1	defining	votes 3
active	adj	1	defining	votes 1
activity	n	1	defining	votes 1
actor	n	1	defining	votes 3
actual	adj	1	defining	votes 1
actually	adv	1	defining	votes 3
ad	abbr	1	defining	votes 2
add	v	1	defining	votes 2
address	n	1	defining	votes 1
adjective	n	1	defining	votes 1
admire	v	1	defining	votes 2
adopt	v	1	defining	votes 1
adult	adj	1	defining	votes 3
adult	n	1	defining	votes 3
advantage	n	1	defining	votes 1
advertise	v	1	defining	votes 1
affect	v	1	defining	votes 2
afford	v	1	defining	votes 2
afraid	adj	1	defining	votes 3
after	adv	1	defining	votes 2
after	conj	1	defining	votes 3
after	prep	1	defining	votes 3
afternoon	n	1	defining	votes 3
again	adv	1	defining	votes 3
against	prep	1	defining	votes 3
age	n	1	defining	votes 3
age	v	1	defining	votes 2
ago	adv	1	defining	votes 3
agree	v	1	defining	votes 3
agreement	n	1	defining	votes 3
ah	interj	1	defining	votes 3
ahead	adv	1	defining	votes 1
aim	n	1	defining	votes 1
air	n	1	defining	votes 3
airport	n	1	defining	votes 3
alarm	n	1	defining	votes 1
alive	adj	1	defining	votes 2
all	det	1	defining	votes 3
all	pron	1	defining	votes 2
allow	v	1	defining	votes 2
almost	adv	1	defining	votes 3
alone	adj	1	defining	votes 3
along	prep	1	defining	votes 3
alphabet	n	1	defining	votes 1
already	adv	1	defining	votes 3
also	adv	1	defining	votes 3
although	conj	1	defining	votes 3
always	adv	1	defining	votes 3
am	abbr	1	defining	votes 2
ambulance	n	1	defining	votes 2
among	prep	1	defining	votes 3
amount	n	1	defining	votes 3
an	det	1	defining	votes 1
ancestor	n	1	defining	votes 2
and	conj	1	defining	votes 3
anger	n	1	defining	votes 3
angle	n	1	defining	votes 1
angry	adj	1	defining	votes 3
animal	n	1	defining	votes 3
annual	adj	1	defining	votes 2
another	det	1	defining	votes 2
answer	n	1	defining	votes 3
answer	v	1	defining	votes 3
anti-	prefix	1	defining	votes 2
anxious	adj	1	defining	votes 2
any	det	1	defining	votes 3
any	pron	1	defining	votes 2
anybody	pron	1	defining	votes 1
anyone	pron	1	defining	votes 1
anything	pron	1	defining	votes 1
anyway	adv	1	defining	votes 2
anywhere	adv	1	defining	votes 2
