word	pos	band_median	votes	by_role
-able	suffix	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
-al	suffix	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
-ance	suffix	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
-ation	suffix	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
-dom	suffix	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=3
-ed	suffix	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
-en	suffix	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
-er	suffix	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
-ful	suffix	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
-hood	suffix	2	3	wordlist-1=4,wordlist-2=2,wordlist-3=2
-ic	suffix	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
-ify	suffix	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
-ing	suffix	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
-ish	suffix	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
-ism	suffix	2	3	wordlist-1=3,wordlist-2=1,wordlist-3=2
-ist	suffix	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
-ity	suffix	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
-ive	suffix	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
-ize	suffix	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
-less	suffix	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
-like	suffix	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
-ly	suffix	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
-ment	suffix	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
-ness	suffix	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
-ous	suffix	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
-s	suffix	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
-ship	suffix	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
-sion	suffix	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
-tion	suffix	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
-ward	suffix	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
-wise	suffix	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
-y	suffix	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
a	det	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
a.m.	abbr	2	3	wordlist-1=3,wordlist-2=1,wordlist-3=2
ability	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
able	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
about	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
about	prep	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
above	adv	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
above	prep	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
abroad	adv	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
absolutely	adv	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
absorb	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
abstract	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
abstract	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
academic	adj	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
accelerate	v	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
accent	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
accept	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
access	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
access	v	2	3	wordlist-1=3,wordlist-2=1,wordlist-3=2
accessible	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
accessory	n	2	3	wordlist-1=4,wordlist-2=2,wordlist-3=2
accident	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
account	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
accurate	adj	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
ache	n	3	3	wordlist-1=3,wordlist-2=3,wordlist-3=2
ache	v	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
acid	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
acquaintance	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
across	adv	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
across	prep	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
act	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
act	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
action	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
active	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
activity	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
actor	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
actual	adj	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
actually	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
acute	adj	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
ad	abbr	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
adapt	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
add	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
addiction	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
address	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
adequate	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
adjacent	adj	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
adjective	n	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
admiration	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
admire	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
adolescence	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
adopt	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
adoption	n	2	3	wordlist-1=4,wordlist-2=2,wordlist-3=2
adult	adj	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
adult	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
advanced	adj	2	3	wordlist-1=3,wordlist-2=1,wordlist-3=2
advantage	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
advertise	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
affect	v	2	3	wordlist-1=2,wordlist-2=1,wordlist-3=2
affection	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
afford	v	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
afraid	adj	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
after	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
after	conj	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
after	prep	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
afternoon	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
again	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
against	prep	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
age	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
age	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
agency	n	2	3	wordlist-1=3,wordlist-2=1,wordlist-3=2
aggressive	adj	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=2
ago	adv	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
agree	v	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
agreement	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
agricultural	adj	2	3	wordlist-1=4,wordlist-2=2,wordlist-3=2
ah	interj	1	3	wordlist-1=3,wordlist-2=1,wordlist-3=1
aha	interj	2	3	wordlist-1=4,wordlist-2=2,wordlist-3=1
ahead	adv	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
aim	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=1
aim	v	2	3	wordlist-1=3,wordlist-2=2,wordlist-3=1
air	n	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
airport	n	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
aisle	n	2	3	wordlist-1=4,wordlist-2=2,wordlist-3=2
alarm	n	2	3	wordlist-1=2,wordlist-2=2,wordlist-3=2
alas	interj	4	3	wordlist-1=5,wordlist-2=4,wordlist-3=3
alive	adj	1	3	wordlist-1=2,wordlist-2=1,wordlist-3=1
all	det	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
all	pron	1	3	wordlist-1=1,wordlist-2=1,wordlist-3=1
allergic	adj	2	3	wordlist-1=4,wordlist-2=2,wordlist-3=2
allergy	n	2	3	wordlist-1=4,wordlist-2=2,wordlist-3=2
alley	n	3	3	wordlist-1=4,wordlist-2=3,wordlist-3=2
alliance	n	2	3	wordlist-1=4,wordlist-2=2,wordlist-3=2
