word	pos	votes	roles
-able	suffix	3	wordlist-1,wordlist-2,wordlist-3
-al	suffix	3	wordlist-1,wordlist-2,wordlist-3
-ance	suffix	2	wordlist-1,wordlist-3
-ary	suffix	1	wordlist-1
-ation	suffix	2	wordlist-1,wordlist-3
-dom	suffix	1	wordlist-1
-ence	suffix	1	wordlist-1
-er	suffix	1	wordlist-3
-ful	suffix	3	wordlist-1,wordlist-2,wordlist-3
-graphy	comb	1	wordlist-2
-hood	suffix	1	wordlist-1
-ible	suffix	1	wordlist-2
-ic	suffix	1	wordlist-3
-ify	suffix	2	wordlist-1,wordlist-2
-ing	suffix	1	wordlist-3
-ion	suffix	1	wordlist-3
-ise	suffix	1	wordlist-2
-ish	suffix	2	wordlist-2,wordlist-3
-ism	suffix	2	wordlist-1,wordlist-2
-ist	suffix	3	wordlist-1,wordlist-2,wordlist-3
-ity	suffix	3	wordlist-1,wordlist-2,wordlist-3
-ive	suffix	2	wordlist-1,wordlist-3
-ize	suffix	3	wordlist-1,wordlist-2,wordlist-3
-less	suffix	3	wordlist-1,wordlist-2,wordlist-3
-like	suffix	1	wordlist-2
-logy	comb	1	wordlist-2
-ly	suffix	1	wordlist-3
-ment	suffix	3	wordlist-1,wordlist-2,wordlist-3
-ness	suffix	2	wordlist-2,wordlist-3
-or	suffix	1	wordlist-3
-ous	suffix	3	wordlist-1,wordlist-2,wordlist-3
-phobia	comb	1	wordlist-2
-proof	suffix	1	wordlist-2
-ship	suffix	2	wordlist-1,wordlist-3
-tion	suffix	2	wordlist-2,wordlist-3
-ward	suffix	1	wordlist-1
-wise	suffix	1	wordlist-1
-y	suffix	1	wordlist-3
a.m.	abbr	2	wordlist-1,wordlist-3
abbreviate	v	1	wordlist-3
abdomen	n	1	wordlist-2
abdominal	adj	1	wordlist-2
ability	n	1	wordlist-1
abnormal	adj	1	wordlist-3
abnormally	adv	1	wordlist-3
abolish	v	1	wordlist-1
abrasive	adj	1	wordlist-2
abrasive	n	1	wordlist-2
abroad	adv	2	wordlist-1,wordlist-2
absolutely	adv	2	wordlist-1,wordlist-2
absorb	v	3	wordlist-1,wordlist-2,wordlist-3
abstract	adj	2	wordlist-1,wordlist-2
abstract	n	2	wordlist-1,wordlist-2
abundance	n	1	wordlist-2
abundant	adj	1	wordlist-2
abysmal	adj	1	wordlist-2
abysmally	adv	1	wordlist-2
academic	adj	2	wordlist-1,wordlist-2
academic	n	1	wordlist-1
academician	n	1	wordlist-2
accelerate	v	2	wordlist-1,wordlist-2
acceleration	n	1	wordlist-2
accent	n	2	wordlist-1,wordlist-2
accentuate	v	1	wordlist-3
acceptable	adj	1	wordlist-1
access	n	2	wordlist-1,wordlist-3
access	v	2	wordlist-1,wordlist-3
accessible	adj	2	wordlist-1,wordlist-2
accessory	n	2	wordlist-1,wordlist-2
accommodate	v	1	wordlist-2
accommodation	n	1	wordlist-1
according to	prep	1	wordlist-1
accordingly	adv	1	wordlist-1
account	n	2	wordlist-1,wordlist-3
accuracy	n	1	wordlist-1
accurate	adj	3	wordlist-1,wordlist-2,wordlist-3
accurately	adv	1	wordlist-2
accusation	n	1	wordlist-1
accuse	v	1	wordlist-1
ache	n	3	wordlist-1,wordlist-2,wordlist-3
ache	v	3	wordlist-1,wordlist-2,wordlist-3
achieve	v	1	wordlist-1
achievement	n	1	wordlist-1
acknowledge	v	1	wordlist-3
acoustic	adj	1	wordlist-2
acoustics	n	1	wordlist-2
acquaintance	n	1	wordlist-2
acquisition	n	1	wordlist-2
acrobat	n	1	wordlist-2
across	prep	1	wordlist-1
act	v	1	wordlist-2
action	n	1	wordlist-1
activism	n	1	wordlist-2
activist	n	1	wordlist-2
actor	n	1	wordlist-3
actress	n	1	wordlist-3
