word	pos	votes	roles
-able	suffix	2	wordlist-1,wordlist-2
-al	suffix	2	wordlist-1,wordlist-2
-dom	suffix	1	wordlist-1
-ed	suffix	1	wordlist-1
-en	suffix	2	wordlist-1,wordlist-2
-er	suffix	2	wordlist-1,wordlist-2
-ful	suffix	2	wordlist-1,wordlist-2
-hood	suffix	2	wordlist-1,wordlist-2
-ic	suffix	1	wordlist-2
-ify	suffix	1	wordlist-1
-ing	suffix	1	wordlist-1
-ish	suffix	2	wordlist-1,wordlist-2
-ism	suffix	2	wordlist-1,wordlist-2
-ist	suffix	2	wordlist-1,wordlist-2
-ity	suffix	2	wordlist-1,wordlist-2
-ive	suffix	2	wordlist-1,wordlist-2
-ize	suffix	2	wordlist-1,wordlist-2
-less	suffix	2	wordlist-1,wordlist-2
-like	suffix	1	wordlist-2
-ly	suffix	2	wordlist-1,wordlist-2
-ment	suffix	2	wordlist-1,wordlist-2
-ness	suffix	2	wordlist-1,wordlist-2
-ous	suffix	2	wordlist-1,wordlist-2
-s	suffix	1	wordlist-1
-ship	suffix	2	wordlist-1,wordlist-2
-sion	suffix	1	wordlist-1
-tion	suffix	2	wordlist-1,wordlist-2
-ward	suffix	1	wordlist-2
-wise	suffix	1	wordlist-2
-y	suffix	1	wordlist-1
a	det	3	wordlist-1,wordlist-2,wordlist-3
a.m.	abbr	2	wordlist-1,wordlist-3
ability	n	3	wordlist-1,wordlist-2,wordlist-3
able	adj	2	wordlist-1,wordlist-2
about	adv	1	wordlist-1
about	prep	3	wordlist-1,wordlist-2,wordlist-3
above	adv	1	wordlist-3
above	prep	3	wordlist-1,wordlist-2,wordlist-3
abroad	adv	1	wordlist-2
absolutely	adv	1	wordlist-3
absorb	v	1	wordlist-1
accent	n	1	wordlist-1
accept	v	3	wordlist-1,wordlist-2,wordlist-3
accident	n	3	wordlist-1,wordlist-2,wordlist-3
account	n	2	wordlist-1,wordlist-2
ache	n	2	wordlist-1,wordlist-3
ache	v	1	wordlist-3
acid	n	1	wordlist-2
acquaintance	n	2	wordlist-2,wordlist-3
across	adv	2	wordlist-1,wordlist-2
across	prep	3	wordlist-1,wordlist-2,wordlist-3
act	n	2	wordlist-2,wordlist-3
act	v	3	wordlist-1,wordlist-2,wordlist-3
action	n	3	wordlist-1,wordlist-2,wordlist-3
active	adj	1	wordlist-2
activity	n	1	wordlist-3
actor	n	3	wordlist-1,wordlist-2,wordlist-3
actual	adj	1	wordlist-2
actually	adv	3	wordlist-1,wordlist-2,wordlist-3
ad	abbr	2	wordlist-1,wordlist-2
add	v	2	wordlist-1,wordlist-3
address	n	1	wordlist-1
adjective	n	1	wordlist-1
admiration	n	1	wordlist-1
admire	v	2	wordlist-1,wordlist-3
adopt	v	1	wordlist-2
adoption	n	1	wordlist-2
adult	adj	3	wordlist-1,wordlist-2,wordlist-3
adult	n	3	wordlist-1,wordlist-2,wordlist-3
advantage	n	1	wordlist-3
advertise	v	1	wordlist-1
affect	v	2	wordlist-1,wordlist-2
afford	v	2	wordlist-1,wordlist-2
afraid	adj	3	wordlist-1,wordlist-2,wordlist-3
after	adv	2	wordlist-1,wordlist-2
after	conj	3	wordlist-1,wordlist-2,wordlist-3
after	prep	3	wordlist-1,wordlist-2,wordlist-3
afternoon	n	3	wordlist-1,wordlist-2,wordlist-3
again	adv	3	wordlist-1,wordlist-2,wordlist-3
against	prep	3	wordlist-1,wordlist-2,wordlist-3
age	n	3	wordlist-1,wordlist-2,wordlist-3
age	v	2	wordlist-1,wordlist-2
agency	n	1	wordlist-3
ago	adv	3	wordlist-1,wordlist-2,wordlist-3
agree	v	3	wordlist-1,wordlist-2,wordlist-3
agreement	n	3	wordlist-1,wordlist-2,wordlist-3
ah	interj	3	wordlist-1,wordlist-2,wordlist-3
aha	interj	1	wordlist-3
ahead	adv	1	wordlist-2
aim	n	1	wordlist-2
aim	v	1	wordlist-2
air	n	3	wordlist-1,wordlist-2,wordlist-3
airport	n	3	wordlist-1,wordlist-2,wordlist-3
alarm	n	1	wordlist-3
alas	interj	1	wordlist-3
alive	adj	2	wordlist-1,wordlist-2
all	det	3	wordlist-1,wordlist-2,wordlist-3
all	pron	2	wordlist-1,wordlist-2
allergy	n	1	wordlist-3
alley	n	1	wordlist-3
allow	v	2	wordlist-1,wordlist-2
almost	adv	3	wordlist-1,wordlist-2,wordlist-3
alone	adj	3	wordlist-1,wordlist-2,wordlist-3
alone	adv	1	wordlist-1
along	adv	1	wordlist-1
along	prep	3	wordlist-1,wordlist-2,wordlist-3
alphabet	n	1	wordlist-1
already	adv	3	wordlist-1,wordlist-2,wordlist-3
alright	adv	1	wordlist-2
alright	interj	1	wordlist-2
