headword	pos	band	source	status	added	note
-able	suffix	1	defining	pending	2026-09-16	votes 2
-al	suffix	1	defining	pending	2026-09-16	votes 2
-dom	suffix	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
-ed	suffix	1	defining	pending	2026-09-16	votes 1
-en	suffix	1	defining	pending	2026-09-16	votes 2
-er	suffix	1	defining	pending	2026-09-16	votes 2
-ful	suffix	1	defining	pending	2026-09-16	votes 2
-hood	suffix	1	defining	pending	2026-09-16	votes 2
-ic	suffix	1	defining	pending	2026-09-16	votes 1
-ify	suffix	1	defining	pending	2026-09-16	votes 1
-ing	suffix	1	defining	pending	2026-09-16	votes 1
-ish	suffix	1	defining	pending	2026-09-16	votes 2
-ism	suffix	1	defining	pending	2026-09-16	votes 2
-ist	suffix	1	defining	pending	2026-09-16	votes 2
-ity	suffix	1	defining	pending	2026-09-16	votes 2
-ive	suffix	1	defining	pending	2026-09-16	votes 2
-ize	suffix	1	defining	pending	2026-09-16	votes 2
-less	suffix	1	defining	pending	2026-09-16	votes 2
-like	suffix	1	defining	pending	2026-09-16	votes 1
-ly	suffix	1	defining	pending	2026-09-16	votes 2
-ment	suffix	1	defining	pending	2026-09-16	votes 2
-ness	suffix	1	defining	done	2026-09-16	votes 2
-ous	suffix	1	defining	pending	2026-09-16	votes 2
-ship	suffix	1	defining	pending	2026-09-16	votes 2
-tion	suffix	1	defining	pending	2026-09-16	votes 2
-ward	suffix	1	defining	pending	2026-09-16	votes 1
-wise	suffix	1	defining	pending	2026-09-16	votes 1
-y	suffix	1	defining	pending	2026-09-16	votes 1
a	det	1	defining	done	2026-09-16	votes 3; referenced by one-num
a.m.	abbr	1	defining	pending	2026-09-16	votes 2
ability	n	1	defining	pending	2026-09-16	votes 3
able	adj	1	defining	pending	2026-09-16	votes 2; referenced by can-modal
about	prep	1	defining	pending	2026-09-16	votes 3
above	prep	1	defining	pending	2026-09-16	votes 3
abroad	adv	1	defining	pending	2026-09-16	votes 1
absolutely	adv	1	defining	pending	2026-09-16	votes 1
absorb	v	1	defining	pending	2026-09-16	votes 1
accent	n	1	defining	pending	2026-09-16	votes 1
accept	v	1	defining	pending	2026-09-16	votes 3; referenced by take-v
accident	n	1	defining	pending	2026-09-16	votes 3
account	n	1	defining	pending	2026-09-16	votes 2; referenced by bank-n
ache	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
acid	n	1	defining	pending	2026-09-16	votes 1
acquaintance	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
across	adv	1	defining	pending	2026-09-16	votes 2
across	prep	1	defining	pending	2026-09-16	votes 3
act	n	1	defining	pending	2026-09-16	votes 2
act	v	1	defining	pending	2026-09-16	votes 3
action	n	1	defining	pending	2026-09-16	votes 3
active	adj	1	defining	pending	2026-09-16	votes 1
activity	n	1	defining	pending	2026-09-16	votes 1
actor	n	1	defining	pending	2026-09-16	votes 3
actual	adj	1	defining	pending	2026-09-16	votes 1; referenced by actually-adv
actually	adv	1	defining	done	2026-09-16	votes 3
ad	abbr	1	defining	pending	2026-09-16	votes 2
add	v	1	defining	pending	2026-09-16	votes 2; referenced by lend-v
address	n	1	defining	pending	2026-09-16	votes 1
adjective	n	1	defining	pending	2026-09-16	votes 1
admire	v	1	defining	pending	2026-09-16	votes 2
adopt	v	1	defining	pending	2026-09-16	votes 1; referenced by borrow-v
adult	adj	1	defining	pending	2026-09-16	votes 3
adult	n	1	defining	pending	2026-09-16	votes 3; referenced by child-n
advantage	n	1	defining	pending	2026-09-16	votes 1
advertise	v	1	defining	pending	2026-09-16	votes 1
affect	v	1	defining	pending	2026-09-16	votes 2
afford	v	1	defining	pending	2026-09-16	votes 2
afraid	adj	1	defining	done	2026-09-16	votes 3
after	adv	1	defining	pending	2026-09-16	votes 2
after	conj	1	defining	pending	2026-09-16	votes 3
after	prep	1	defining	pending	2026-09-16	votes 3
afternoon	n	1	defining	pending	2026-09-16	votes 3
again	adv	1	defining	pending	2026-09-16	votes 3
against	prep	1	defining	pending	2026-09-16	votes 3
age	n	1	defining	pending	2026-09-16	votes 3
age	v	1	defining	pending	2026-09-16	votes 2
ago	adv	1	defining	done	2026-09-16	votes 3
agree	v	1	defining	pending	2026-09-16	votes 3
agreement	n	1	defining	pending	2026-09-16	votes 3
ah	interj	1	defining	pending	2026-09-16	votes 3
ahead	adv	1	defining	pending	2026-09-16	votes 1; referenced by head-n
aim	n	1	defining	pending	2026-09-16	votes 1
air	n	1	defining	pending	2026-09-16	votes 3
airport	n	1	defining	pending	2026-09-16	votes 3
alarm	n	1	defining	pending	2026-09-16	votes 1
alive	adj	1	defining	pending	2026-09-16	votes 2
all	det	1	defining	done	2026-09-16	votes 3
all	pron	1	defining	done	2026-09-16	votes 2
allow	v	1	defining	pending	2026-09-16	votes 2
almost	adv	1	defining	pending	2026-09-16	votes 3
alone	adj	1	defining	done	2026-09-16	votes 3
along	prep	1	defining	pending	2026-09-16	votes 3
alphabet	n	1	defining	pending	2026-09-16	votes 1
already	adv	1	defining	pending	2026-09-16	votes 3
also	adv	1	defining	pending	2026-09-16	votes 3
although	conj	1	defining	pending	2026-09-16	votes 3; referenced by in-spite-of-prep
always	adv	1	defining	pending	2026-09-16	votes 3
am	abbr	1	defining	pending	2026-09-16	votes 2
ambulance	n	1	defining	pending	2026-09-16	votes 2
among	prep	1	defining	pending	2026-09-16	votes 3
amount	n	1	defining	pending	2026-09-16	votes 3
an	det	1	defining	done	2026-09-16	votes 1
ancestor	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
and	conj	1	defining	done	2026-09-16	votes 3
anger	n	1	defining	pending	2026-09-16	votes 3
angle	n	1	defining	pending	2026-09-16	votes 1
angry	adj	1	defining	pending	2026-09-16	votes 3
animal	n	1	defining	pending	2026-09-16	votes 3
annual	adj	1	defining	pending	2026-09-16	votes 2
another	det	1	defining	done	2026-09-16	votes 2
answer	n	1	defining	pending	2026-09-16	votes 3
answer	v	1	defining	pending	2026-09-16	votes 3; referenced by get-v
anti-	prefix	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
anxious	adj	1	defining	pending	2026-09-16	votes 2; referenced by afraid-adj
any	det	1	defining	done	2026-09-16	votes 3; referenced by some-det
any	pron	1	defining	done	2026-09-16	votes 2
anybody	pron	1	defining	done	2026-09-16	votes 1; referenced by any-det
anyone	pron	1	defining	done	2026-09-16	votes 1; referenced by any-det; referenced by anybody-pron
anything	pron	1	defining	done	2026-09-16	votes 1; referenced by thing-n; referenced by any-det
anyway	adv	1	defining	done	2026-09-16	votes 2
anywhere	adv	1	defining	pending	2026-09-16	votes 2; referenced by any-det
apart	adv	1	defining	pending	2026-09-16	votes 3
apartment	n	1	defining	pending	2026-09-16	votes 1; referenced by house-n
apologize	v	1	defining	pending	2026-09-16	votes 1; referenced by sorry-adj
app	abbr	1	defining	pending	2026-09-16	votes 2
appeal	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
appeal	v	1	defining	pending	2026-09-16	votes 2
appear	v	1	defining	pending	2026-09-16	votes 2
appearance	n	1	defining	pending	2026-09-16	votes 2
appointment	n	1	defining	pending	2026-09-16	votes 2
area	n	1	defining	pending	2026-09-16	votes 3
argue	v	1	defining	pending	2026-09-16	votes 3
argument	n	1	defining	pending	2026-09-16	votes 3
arm	n	1	defining	pending	2026-09-16	votes 3; referenced by hand-n
army	n	1	defining	pending	2026-09-16	votes 3
around	adv	1	defining	pending	2026-09-16	votes 2
around	prep	1	defining	pending	2026-09-16	votes 3
arrest	n	1	defining	pending	2026-09-16	votes 3
arrest	v	1	defining	pending	2026-09-16	votes 3
arrive	v	1	defining	pending	2026-09-16	votes 3; referenced by get-v
art	n	1	defining	pending	2026-09-16	votes 3
artist	n	1	defining	pending	2026-09-16	votes 2
as	conj	1	defining	pending	2026-09-16	votes 3; referenced by because-conj
as	prep	1	defining	pending	2026-09-16	votes 3
ash	n	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
ashamed	adj	1	defining	pending	2026-09-16	votes 2
ask	v	1	defining	pending	2026-09-16	votes 3; referenced by tell-v
asleep	adj	1	defining	done	2026-09-16	votes 3
assume	v	1	defining	pending	2026-09-16	votes 2
at	prep	1	defining	pending	2026-09-16	votes 3
attack	n	1	defining	pending	2026-09-16	votes 3
attack	v	1	defining	pending	2026-09-16	votes 3
attempt	n	1	defining	pending	2026-09-16	votes 1
attention	n	1	defining	pending	2026-09-16	votes 2
attitude	n	1	defining	pending	2026-09-16	votes 2
audience	n	1	defining	pending	2026-09-16	votes 2; referenced by house-n
aunt	n	1	defining	pending	2026-09-16	votes 3
author	n	1	defining	pending	2026-09-16	votes 1
authority	n	1	defining	pending	2026-09-16	votes 2
automatic	adj	1	defining	pending	2026-09-16	votes 1
autumn	n	1	defining	pending	2026-09-16	votes 3
available	adj	1	defining	pending	2026-09-16	votes 1
average	adj	1	defining	pending	2026-09-16	votes 1
awake	adj	1	defining	pending	2026-09-16	votes 3; referenced by asleep-adj
aware	adj	1	defining	pending	2026-09-16	votes 3
away	adv	1	defining	pending	2026-09-16	votes 3
baby	n	1	defining	pending	2026-09-16	votes 3; referenced by child-n
back	adv	1	defining	pending	2026-09-16	votes 3
back	n	1	defining	pending	2026-09-16	votes 3
backward	adv	1	defining	pending	2026-09-16	votes 2
bacteria	n	1	defining	pending	2026-09-16	votes 1
bad	adj	1	defining	pending	2026-09-16	votes 2; referenced by good-adj
badly	adv	1	defining	pending	2026-09-16	votes 3
bag	n	1	defining	pending	2026-09-16	votes 3
bake	v	1	defining	pending	2026-09-16	votes 2
bald	adj	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
ball	n	1	defining	pending	2026-09-16	votes 3
band	n	1	defining	pending	2026-09-16	votes 2
bandage	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
bank	n	1	defining	done	2026-09-16	votes 2
barely	adv	1	defining	pending	2026-09-16	votes 2
bark	n	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
basic	adj	1	defining	pending	2026-09-16	votes 2
basically	adv	1	defining	pending	2026-09-16	votes 1
basis	n	1	defining	pending	2026-09-16	votes 1
basket	n	1	defining	pending	2026-09-16	votes 2
bath	n	1	defining	pending	2026-09-16	votes 2
bathroom	n	1	defining	pending	2026-09-16	votes 2
battery	n	1	defining	pending	2026-09-16	votes 1
battle	n	1	defining	pending	2026-09-16	votes 1
be	aux	1	defining	duplicate	2026-09-16	votes 3; covered by the be-v entry (auxiliary or pronoun uses are senses there)
be	v	1	defining	done	2026-09-16	votes 3
beach	n	1	defining	pending	2026-09-16	votes 1; referenced by bank-n
beak	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
bean	n	1	defining	pending	2026-09-16	votes 2
beard	n	1	defining	pending	2026-09-16	votes 1
beat	n	1	defining	pending	2026-09-16	votes 3
beat	v	1	defining	pending	2026-09-16	votes 3
beautiful	adj	1	defining	pending	2026-09-16	votes 3
beauty	n	1	defining	pending	2026-09-16	votes 3
because	conj	1	defining	done	2026-09-16	votes 3
become	v	1	defining	pending	2026-09-16	votes 3; referenced by get-v
bed	n	1	defining	pending	2026-09-16	votes 2
bedroom	n	1	defining	pending	2026-09-16	votes 2
bee	n	1	defining	pending	2026-09-16	votes 1
beer	n	1	defining	pending	2026-09-16	votes 2
before	adv	1	defining	pending	2026-09-16	votes 2; referenced by ago-adv
before	conj	1	defining	pending	2026-09-16	votes 3
before	prep	1	defining	pending	2026-09-16	votes 3
begin	v	1	defining	pending	2026-09-16	votes 3
beginning	n	1	defining	pending	2026-09-16	votes 3
behavior	n	1	defining	pending	2026-09-16	votes 2
behind	prep	1	defining	pending	2026-09-16	votes 3
belief	n	1	defining	pending	2026-09-16	votes 3
believe	v	1	defining	pending	2026-09-16	votes 3
belong	v	1	defining	pending	2026-09-16	votes 2; referenced by go-v
belong to	phrv	1	defining	pending	2026-09-16	votes 2
below	prep	1	defining	pending	2026-09-16	votes 3
belt	n	1	defining	pending	2026-09-16	votes 3
bench	n	1	defining	pending	2026-09-16	votes 1
bend	v	1	defining	pending	2026-09-16	votes 3
benefit	n	1	defining	pending	2026-09-16	votes 2
bent	adj	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
berry	n	1	defining	pending	2026-09-16	votes 1
beside	prep	1	defining	pending	2026-09-16	votes 3
between	prep	1	defining	pending	2026-09-16	votes 3
beyond	prep	1	defining	pending	2026-09-16	votes 3
bicycle	n	1	defining	pending	2026-09-16	votes 1
big	adj	1	defining	done	2026-09-16	votes 3
bike	n	1	defining	pending	2026-09-16	votes 2
bill	n	1	defining	pending	2026-09-16	votes 2
bind	v	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
bio-	comb	4	defining	pending	2026-09-16	votes 2; panel median 4, secondary part of speech
bird	n	1	defining	pending	2026-09-16	votes 2
birth	n	1	defining	pending	2026-09-16	votes 3
birthday	n	1	defining	pending	2026-09-16	votes 1
bit	n	1	defining	pending	2026-09-16	votes 1
bite	v	1	defining	pending	2026-09-16	votes 2
bitter	adj	1	defining	pending	2026-09-16	votes 2
black	adj	1	defining	pending	2026-09-16	votes 2
blade	n	1	defining	pending	2026-09-16	votes 1
blame	n	1	defining	pending	2026-09-16	votes 1
blanket	n	1	defining	pending	2026-09-16	votes 1
bleed	v	1	defining	pending	2026-09-16	votes 3
blind	adj	1	defining	pending	2026-09-16	votes 3
block	n	1	defining	pending	2026-09-16	votes 1
blood	n	1	defining	pending	2026-09-16	votes 3
blow	v	1	defining	pending	2026-09-16	votes 2
blue	adj	1	defining	pending	2026-09-16	votes 2
blunt	adj	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
board	v	1	defining	pending	2026-09-16	votes 2
boat	n	1	defining	pending	2026-09-16	votes 3
body	n	1	defining	pending	2026-09-16	votes 3
boil	v	1	defining	pending	2026-09-16	votes 3
bold	adj	1	defining	pending	2026-09-16	votes 1
bomb	n	1	defining	pending	2026-09-16	votes 1
bone	n	1	defining	pending	2026-09-16	votes 3
book	n	1	defining	pending	2026-09-16	votes 3
boot	n	1	defining	pending	2026-09-16	votes 2
bore	v	3	defining	pending	2026-09-16	votes 3; panel median 3, secondary part of speech
bored	adj	1	defining	pending	2026-09-16	votes 3
born	adj	1	defining	pending	2026-09-16	votes 3
borrow	v	1	defining	done	2026-09-16	votes 1
boss	n	1	defining	pending	2026-09-16	votes 3; referenced by head-n
both	det	1	defining	done	2026-09-16	votes 3
both	pron	1	defining	done	2026-09-16	votes 2; referenced by both-det
bottle	n	1	defining	pending	2026-09-16	votes 2
bottom	n	1	defining	pending	2026-09-16	votes 3; referenced by head-n
bowl	n	1	defining	pending	2026-09-16	votes 3
box	n	1	defining	pending	2026-09-16	votes 2
boy	n	1	defining	pending	2026-09-16	votes 3
brain	n	1	defining	pending	2026-09-16	votes 3; referenced by head-n
branch	n	1	defining	pending	2026-09-16	votes 2
brave	adj	1	defining	pending	2026-09-16	votes 3
bread	n	1	defining	pending	2026-09-16	votes 2
break	n	1	defining	pending	2026-09-16	votes 3
break	v	1	defining	pending	2026-09-16	votes 3
break down	phrv	1	defining	pending	2026-09-16	votes 3
break up	phrv	1	defining	pending	2026-09-16	votes 3
breakfast	n	1	defining	pending	2026-09-16	votes 3
breath	n	1	defining	pending	2026-09-16	votes 1
breathe	v	1	defining	pending	2026-09-16	votes 2
breed	v	1	defining	pending	2026-09-16	votes 2
bridge	n	1	defining	pending	2026-09-16	votes 3
brief	adj	1	defining	pending	2026-09-16	votes 1
briefly	adv	1	defining	pending	2026-09-16	votes 1; referenced by quickly-adv
bright	adj	1	defining	pending	2026-09-16	votes 3
bring	v	1	defining	pending	2026-09-16	votes 3; referenced by get-v
bring about	phrv	1	defining	pending	2026-09-16	votes 1
bring back	phrv	1	defining	pending	2026-09-16	votes 1
bring up	phrv	1	defining	pending	2026-09-16	votes 3
broom	n	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
brother	n	1	defining	pending	2026-09-16	votes 3
brown	adj	1	defining	pending	2026-09-16	votes 1
bruise	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
brush	n	1	defining	pending	2026-09-16	votes 3
brush	v	1	defining	pending	2026-09-16	votes 3
bucket	n	1	defining	pending	2026-09-16	votes 1
bug	n	1	defining	pending	2026-09-16	votes 1
build	v	1	defining	pending	2026-09-16	votes 3; referenced by make-v
building	n	1	defining	pending	2026-09-16	votes 3
burn	n	1	defining	pending	2026-09-16	votes 3
burn	v	1	defining	pending	2026-09-16	votes 3
bury	v	1	defining	pending	2026-09-16	votes 1
bus	n	1	defining	pending	2026-09-16	votes 3
bush	n	1	defining	pending	2026-09-16	votes 2
business	n	1	defining	pending	2026-09-16	votes 2
busy	adj	1	defining	pending	2026-09-16	votes 3
but	conj	1	defining	pending	2026-09-16	votes 3; referenced by and-conj
butter	n	1	defining	pending	2026-09-16	votes 2
button	n	1	defining	pending	2026-09-16	votes 3
button	v	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
buy	v	1	defining	pending	2026-09-16	votes 3
by	prep	1	defining	pending	2026-09-16	votes 3
bye	interj	1	defining	pending	2026-09-16	votes 3
cabinet	n	1	defining	pending	2026-09-16	votes 1
cable	n	1	defining	pending	2026-09-16	votes 1
cake	n	1	defining	pending	2026-09-16	votes 2
calculate	v	1	defining	pending	2026-09-16	votes 1
calendar	n	1	defining	pending	2026-09-16	votes 2
call	v	1	defining	pending	2026-09-16	votes 3
call off	phrv	1	defining	pending	2026-09-16	votes 2
calm	adj	1	defining	pending	2026-09-16	votes 3
calm	v	1	defining	pending	2026-09-16	votes 3
calm down	phrv	1	defining	pending	2026-09-16	votes 1
camera	n	1	defining	pending	2026-09-16	votes 2
can	modal	1	defining	done	2026-09-16	votes 3
cancer	n	1	defining	pending	2026-09-16	votes 2
candy	n	1	defining	pending	2026-09-16	votes 1
capital	n	1	defining	pending	2026-09-16	votes 1
car	n	1	defining	pending	2026-09-16	votes 3
card	n	1	defining	pending	2026-09-16	votes 1
care	n	1	defining	pending	2026-09-16	votes 3; referenced by look-after-phrv
care	v	1	defining	pending	2026-09-16	votes 3
career	n	1	defining	pending	2026-09-16	votes 1
careful	adj	1	defining	pending	2026-09-16	votes 3
carefully	adv	1	defining	pending	2026-09-16	votes 3
careless	adj	1	defining	pending	2026-09-16	votes 3
carpet	n	1	defining	pending	2026-09-16	votes 2
carry	v	1	defining	pending	2026-09-16	votes 3; referenced by borrow-v
carry on	phrv	1	defining	pending	2026-09-16	votes 3
carry out	phrv	1	defining	pending	2026-09-16	votes 1; referenced by do-v
cartoon	n	1	defining	pending	2026-09-16	votes 1
case	n	1	defining	pending	2026-09-16	votes 2
cash	n	1	defining	pending	2026-09-16	votes 2; referenced by money-n
cat	n	1	defining	pending	2026-09-16	votes 1
catch	v	1	defining	pending	2026-09-16	votes 3; referenced by get-v
catch up	phrv	1	defining	pending	2026-09-16	votes 2
cattle	n	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
cause	n	1	defining	pending	2026-09-16	votes 3
cause	v	1	defining	pending	2026-09-16	votes 3
cave	n	1	defining	pending	2026-09-16	votes 1
ceiling	n	1	defining	pending	2026-09-16	votes 1
celebrate	v	1	defining	pending	2026-09-16	votes 1
cell	n	1	defining	pending	2026-09-16	votes 1
center	n	1	defining	pending	2026-09-16	votes 2
central	adj	1	defining	pending	2026-09-16	votes 1
century	n	1	defining	pending	2026-09-16	votes 2
certain	adj	1	defining	pending	2026-09-16	votes 3
certainly	adv	1	defining	pending	2026-09-16	votes 3
chain	n	1	defining	pending	2026-09-16	votes 1
chair	n	1	defining	pending	2026-09-16	votes 3
chance	n	1	defining	pending	2026-09-16	votes 2
change	n	1	defining	pending	2026-09-16	votes 3
change	v	1	defining	pending	2026-09-16	votes 3
chapter	n	1	defining	pending	2026-09-16	votes 1
character	n	1	defining	pending	2026-09-16	votes 3
charge	n	1	defining	pending	2026-09-16	votes 2
charge	v	1	defining	pending	2026-09-16	votes 2
cheap	adj	1	defining	pending	2026-09-16	votes 2
check	v	1	defining	pending	2026-09-16	votes 2; referenced by see-v
check out	phrv	1	defining	pending	2026-09-16	votes 2
cheese	n	1	defining	pending	2026-09-16	votes 2
chemical	adj	1	defining	pending	2026-09-16	votes 1
chest	n	1	defining	pending	2026-09-16	votes 3
chew	v	1	defining	pending	2026-09-16	votes 2
chicken	n	1	defining	pending	2026-09-16	votes 3
child	n	1	defining	done	2026-09-16	votes 3
choice	n	1	defining	pending	2026-09-16	votes 3
choose	v	1	defining	pending	2026-09-16	votes 3
chop	v	1	defining	pending	2026-09-16	votes 2
church	n	1	defining	pending	2026-09-16	votes 3
circle	n	1	defining	pending	2026-09-16	votes 2
citizen	n	1	defining	pending	2026-09-16	votes 3
city	n	1	defining	pending	2026-09-16	votes 2
claim	n	1	defining	pending	2026-09-16	votes 1
class	n	1	defining	pending	2026-09-16	votes 2
claw	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
clay	n	1	defining	pending	2026-09-16	votes 2
clean	adj	1	defining	pending	2026-09-16	votes 3
clean	v	1	defining	pending	2026-09-16	votes 3
clean up	phrv	1	defining	pending	2026-09-16	votes 2
clear	adj	1	defining	pending	2026-09-16	votes 3
clear up	phrv	1	defining	pending	2026-09-16	votes 1
clearly	adv	1	defining	pending	2026-09-16	votes 3
clever	adj	1	defining	pending	2026-09-16	votes 3
client	n	1	defining	pending	2026-09-16	votes 1
climate	n	1	defining	pending	2026-09-16	votes 1
climb	v	1	defining	pending	2026-09-16	votes 2
clinic	n	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
clock	n	1	defining	pending	2026-09-16	votes 3; referenced by oclock-adv
close	adj	1	defining	pending	2026-09-16	votes 3
close	v	1	defining	pending	2026-09-16	votes 3
closed	adj	1	defining	pending	2026-09-16	votes 3
closely	adv	1	defining	pending	2026-09-16	votes 1
closet	n	1	defining	pending	2026-09-16	votes 2
cloth	n	1	defining	pending	2026-09-16	votes 3
clothes	n	1	defining	pending	2026-09-16	votes 3
cloud	n	1	defining	pending	2026-09-16	votes 2
club	n	1	defining	pending	2026-09-16	votes 1
cm	abbr	1	defining	pending	2026-09-16	votes 2
co-	prefix	1	defining	pending	2026-09-16	votes 2
coast	n	1	defining	pending	2026-09-16	votes 2; referenced by bank-n
coat	n	1	defining	pending	2026-09-16	votes 3
code	n	1	defining	pending	2026-09-16	votes 1
coffee	n	1	defining	pending	2026-09-16	votes 2
coin	n	1	defining	pending	2026-09-16	votes 2
cold	adj	1	defining	pending	2026-09-16	votes 3
cold	n	1	defining	pending	2026-09-16	votes 2
colleague	n	1	defining	pending	2026-09-16	votes 1
collect	v	1	defining	pending	2026-09-16	votes 1
college	n	1	defining	pending	2026-09-16	votes 1
color	n	1	defining	done	2026-09-16	votes 3
comb	n	1	defining	pending	2026-09-16	votes 3
comb	v	3	defining	pending	2026-09-16	votes 2; panel median 3, secondary part of speech
come	v	1	defining	pending	2026-09-16	votes 3; referenced by go-v
come back	phrv	1	defining	pending	2026-09-16	votes 3
come from	phrv	1	defining	pending	2026-09-16	votes 2
come in	phrv	1	defining	pending	2026-09-16	votes 3
come on	phrv	1	defining	pending	2026-09-16	votes 1
come out	phrv	1	defining	pending	2026-09-16	votes 1
come up with	phrv	1	defining	pending	2026-09-16	votes 1
comfort	n	1	defining	pending	2026-09-16	votes 3
comfort	v	3	defining	pending	2026-09-16	votes 3; panel median 3, secondary part of speech
comfortable	adj	1	defining	pending	2026-09-16	votes 3
commercial	adj	1	defining	pending	2026-09-16	votes 1
common	adj	1	defining	pending	2026-09-16	votes 2
commonly	adv	1	defining	pending	2026-09-16	votes 1
communicate	v	1	defining	pending	2026-09-16	votes 1
community	n	1	defining	pending	2026-09-16	votes 3
company	n	1	defining	pending	2026-09-16	votes 2; referenced by house-n
compare	v	1	defining	pending	2026-09-16	votes 2
comparison	n	1	defining	pending	2026-09-16	votes 3
compete	v	1	defining	pending	2026-09-16	votes 1
competition	n	1	defining	pending	2026-09-16	votes 2
complete	adj	1	defining	pending	2026-09-16	votes 2
completely	adv	1	defining	pending	2026-09-16	votes 2
complex	adj	1	defining	pending	2026-09-16	votes 2
computer	n	1	defining	pending	2026-09-16	votes 1
concert	n	1	defining	pending	2026-09-16	votes 1
conclude	v	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
conclusion	n	3	defining	pending	2026-09-16	votes 1; panel median 3, secondary part of speech
condition	n	1	defining	pending	2026-09-16	votes 3
confidence	n	1	defining	pending	2026-09-16	votes 2
